Vernier Format 2
Sin título.cmbl 8/09/2026 13:55:56 .
Último
Tiempo	Angulo	Velocidad 1	Aceleración 1	Posición	Velocidad 2	Aceleración 2
t	Angulo	v 1	a 1	x	v 2	a 2
s	rad	rad/s	rad/s²	m	m/s	m/s²

0.033333	-0.157079632679	-5.4978421222	7.58021350766	0.435953	0.0583105831058	-0.918829626501
0.066666	-0.349065850399	-5.21422328257	6.49178502511	0.4385255	0.0308703087031	-1.01540749555
0.099999	-0.506145483078	-5.02659851173	5.34881391258	0.4392115	-0.0079748297483	-1.07153913901
0.133332	-0.680678408278	-4.91605988705	5.69546262752	0.438011	-0.0471629716297	-0.960395388367
0.166665	-0.837758040957	-4.68334699299	6.79116346073	0.43561	-0.07503200032	-0.78136486333
0.199998	-0.994837673637	-4.42154498717	6.51602619398	0.4326945	-0.0946117794511	-0.739870561226
0.233331	-1.1344640138	-4.13065386959	3.11499020062	0.4292645	-0.114191558582	-0.953035032828
0.266664	-1.25663706144	-4.20337664899	-0.569667468596	0.4261775	-0.16106869402	-1.0798761113
0.299997	-1.41371669412	-4.31973309602	-0.387858702023	0.4182885	-0.201657433241	-0.80404142797
0.33333	-1.55334303427	-4.23246576074	-0.0727235066293	0.4116	-0.212805044717	-0.55917264173
0.366663	-1.69296937443	-4.23246576074	-2.07261993893	0.404397	-0.229097707644	-0.566437717587
0.399996	-1.83259571459	-4.31973309602	-5.41790124388	0.396508	-0.249106241062	-0.638492978129
0.433329	-1.97222205475	-4.65425788123	-7.10266248079	0.387933	-0.274116907836	-0.653023129842
0.466662	-2.14675497995	-4.90151533117	-5.61183059489	0.3781575	-0.29669796698	-0.541664999912
0.499995	-2.30383461263	-5.0178717782	-3.84222526691	0.3678675	-0.310989776564	-0.380761434635
0.533328	-2.47836753783	-5.16331733699	-1.75748474354	0.357406	-0.322423224232	-0.173766322531
0.566661	-2.65290046303	-5.16331733699	0.763596819608	0.3462585	-0.327282439491	0.189487470286
0.599994	-2.82743338823	-5.04696088996	1.69688182135	0.335111	-0.314991483248	0.711620135109
0.633327	-2.98451302091	-5.0178717782	2.07261993893	0.3246495	-0.281119894532	1.26352770098
0.66666	-3.15904594611	-5.03241633408	5.57546884158	0.3157315	-0.225810591439	1.64833852216
